date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
2002-11-16,@,Kansas State,L (13-49),4,8,50.0,92,0,57,415,7.3,6,65,507,7.8,3,19,2,24,13,104,3,0,3
2002-11-29,,Colorado,L (13-28),12,23,52.2,122,1,53,253,4.8,3,76,375,4.9,5,15,1,21,6,58,1,0,1
2002-12-27,N,Mississippi*,L (23-27),25,44,56.8,313,1,32,52,1.6,2,76,365,4.8,14,5,1,20,6,41,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-30,,Oklahoma State,W (17-7),13,28,46.4,97,1,30,86,2.9,0,58,183,3.2,6,5,0,11,8,63,2,3,5
2003-09-06,,Utah State,W (31-7),17,35,48.6,178,1,23,60,2.6,0,58,238,4.1,10,4,0,14,6,33,2,1,3
2003-09-13,,Penn State,W (18-10),16,33,48.5,159,0,21,44,2.1,1,54,203,3.8,7,4,2,13,1,5,1,1,2
2003-09-25,@,Southern Mississippi,W (38-14),18,42,42.9,211,1,36,108,3.0,1,78,319,4.1,11,7,1,19,9,66,3,2,5
2003-10-04,,Troy,W (30-0),11,23,47.8,84,0,37,66,1.8,0,60,150,2.5,5,5,0,10,13,115,2,2,4
2003-10-11,@,Missouri,L (24-41),15,29,51.7,241,2,44,211,4.8,4,73,452,6.2,11,9,0,20,3,23,0,2,2
2003-10-18,,Texas A&M,W (48-12),9,27,33.3,109,0,37,135,3.6,0,64,244,3.8,6,6,3,15,3,25,3,5,8
2003-10-25,,Iowa State,W (28-0),20,41,48.8,160,0,30,70,2.3,0,71,230,3.2,9,4,1,14,5,25,1,2,3
2003-11-01,@,Texas,L (7-31),13,27,48.1,131,0,51,353,6.9,4,78,484,6.2,6,17,2,25,7,80,0,3,3
2003-11-08,@,Kansas,W (24-3),24,34,70.6,204,0,29,88,3.0,0,63,292,4.6,13,4,2,19,8,78,1,3,4
2003-11-15,,Kansas State,L (9-38),15,28,53.6,313,2,53,248,4.7,3,81,561,6.9,12,14,0,26,7,43,0,3,3
2003-11-28,@,Colorado,W (31-22),26,44,59.1,269,3,31,64,2.1,0,75,333,4.4,14,4,1,19,7,60,0,2,2
